organism_id,organism_name_raw,organism_name_norm,taxonomy_id,kingdom
organism:ca5e3e518b4e,Sargassum thunbergii,Sargassum thunbergii,,
organism:4969c1d4c55a,Arnebia euchroma,Arnebia euchroma,,
organism:e72d23b7de55,Taraxacum mongolicum,Taraxacum mongolicum,,
organism:72807178e907,Zizyphus jujuba,Zizyphus jujuba,,
organism:73976f85bfcb,Fritillaria pallidiﬂora,Fritillaria pallidiﬂora,,
organism:7067c6f4812e,Plantago asiatica,Plantago asiatica,,
organism:f3ce22c85466,Sagittaria sagittifolia,Sagittaria sagittifolia,,
organism:e4e7055a2b0a,Ulmus pumila,Ulmus pumila,,
organism:c8c9889d9a8d,Sophora tonkinensis,Sophora tonkinensis,,
organism:0d30f77e6735,Anoectochilus formosanus,Anoectochilus formosanus,,
organism:d98f0d012de0,Pimpinella anisum,Pimpinella anisum,,
organism:ae1554691257,Acanthopanax leucorrhizus,Acanthopanax leucorrhizus,,
organism:b70aa20ab97d,Pleurotus sajor-caju,Pleurotus sajor-caju,,
organism:28ca3ee41ed3,Citrullus lanatus,Citrullus lanatus,,
organism:393ffc2eb833,Suillellus luridus,Suillellus luridus,,
organism:8ad960181b17,Phyllostachys edulis,Phyllostachys edulis,,
organism:e45e6f481009,Holothuria fuscopunctata,Holothuria fuscopunctata,,
organism:05e8288d3015,Epimedium koreanum,Epimedium koreanum,,
organism:2fddd0872283,Ruminococcus gnavus,Ruminococcus gnavus,,
organism:c66603b5e168,Hizikia fusiforme,Hizikia fusiforme,,
organism:0680ee695b8c,Orchidaceae,Orchidaceae,,
organism:949d81e7c643,Phaseolus vulgaris,Phaseolus vulgaris,,
organism:786ee0973c6d,Zea mays,Zea mays,,
organism:1a50c696854a,Eurycoma longifolia,Eurycoma longifolia,,
organism:404cfec54c5a,Sanghuangporus,Sanghuangporus,,
organism:b788f95894eb,Silphium perfoliatum,Silphium perfoliatum,,
organism:b97baa81f673,Auricularia,Auricularia,,
organism:f746cb2edc74,Cordyceps miltaris,Cordyceps miltaris,,
organism:13b8b12c12b5,Citrus,Citrus,,
organism:bc9a8908e95a,Armillaria mellea,Armillaria mellea,,
organism:2a19ff00dbaf,Juniperus tibetica,Juniperus tibetica,,
organism:0a2e2f3afcfb,Dendrobium aphyllum,Dendrobium aphyllum,,
organism:8f736c8ce191,Yeast,Yeast,,
organism:2b7fd15d1f7d,Hordeum vulgare,Hordeum vulgare,,
organism:0695a9b3c1b5,Gelidium paciﬁcum,Gelidium paciﬁcum,,
organism:2d411e095e56,Chuanminshen violaceum,Chuanminshen violaceum,,
organism:2cb77e92b217,Inonotus obliquus,Inonotus obliquus,,
organism:0efd9e7ce2f5,Aureobasidium pullulans,Aureobasidium pullulans,,
organism:4dce6bfd184a,Morus alba L.,Morus alba L.,,
organism:f415cdc75d3d,Rubus chingii Hu,Rubus chingii Hu,,
organism:2b607591bd3a,Artemisia sphaerocephala,Artemisia sphaerocephala,,
organism:90cf1f7613c9,Cordyceps sp.,Cordyceps sp.,,
organism:0a3e096c1ed3,Eriobotrya japonica,Eriobotrya japonica,,
organism:1aaa5fe253cb,Caulerpa lentillifera,Caulerpa lentillifera,,
organism:0fc033eaaa8a,Artemisia afra,Artemisia afra,,
organism:16e823fa445c,Morinda citrifolia,Morinda citrifolia,,
organism:1816d20306db,Tamarindus indica L.,Tamarindus indica L.,,
organism:6bcab5642ffe,Hordeum vulgare L.,Hordeum vulgare L.,,
organism:613022a37dd8,Auricularia auricula-judae,Auricularia auricula-judae,,
organism:c178be830c4e,Plantago asiatic L.,Plantago asiatic L.,,
organism:e103b3da0e18,Sechium edule Sw.,Sechium edule Sw.,,
organism:15dcbeda5b15,Plantago depressa,Plantago depressa,,
organism:689a95b21809,Coriolus versicolor,Coriolus versicolor,,
organism:b5fb899f93bd,Tropicoporus linteus,Tropicoporus linteus,,
organism:0cebd624089e,Fagopyrum esculentum,Fagopyrum esculentum,,
organism:b5c6ac1b1b6c,Salvia hispanica L.,Salvia hispanica L.,,
organism:b4671a9e978f,Lycium barbarium,Lycium barbarium,,
organism:4b39bd01e76f,Lactobacillus helveticus,Lactobacillus helveticus,,
organism:14400de41171,broccoli,broccoli,,
organism:a73a2c5fc35a,Cordyceps gunnii,Cordyceps gunnii,,
organism:ba982ec24900,Armeniaca sibirica L. Lam.,Armeniaca sibirica L. Lam.,,
organism:5112356e80f8,Fortunella margarita,Fortunella margarita,,
organism:b2285842f439,Psidium guajava Linn.,Psidium guajava Linn.,,
organism:3028b57002d6,Camellia sinensis L.,Camellia sinensis L.,,
organism:8cf3d7fda1c1,Mauritia flexuosa,Mauritia flexuosa,,
organism:0e3d6cadd646,Allium macrostemon,Allium macrostemon,,
organism:2ffefd96906c,Ascophyllum nodosum (L.),Ascophyllum nodosum (L.),,
organism:f1102bf4d429,Fucus evanescens,Fucus evanescens,,
organism:7b3d0ff9317a,Acinetobacter baumannii,Acinetobacter baumannii,,
organism:6d4b79d2db68,Prunella vulgaris,Prunella vulgaris,,
organism:d85d28f16a6d,Ulva fasciata,Ulva fasciata,,
organism:91765f5c090f,Monostroma,Monostroma,,
organism:9d6ae94d3df6,Codium,Codium,,
organism:530e2fa4a885,Caulerpa,Caulerpa,,
organism:fe459c38217b,Photorhabdus temperata,Photorhabdus temperata,,
organism:5545c5c4ae9b,Codium isthmocladum,Codium isthmocladum,,
organism:97562b73e02a,Lactobacillus plantarum70810,Lactobacillus plantarum70810,,
organism:163ec12a26b2,Agave americana,Agave americana,,
organism:8b51714b81bc,Chlorophyceae,Chlorophyceae,,
organism:132f82aa1e81,Phaeophyceae,Phaeophyceae,,
organism:272daaeac2fc,Panax quinquefolius,Panax quinquefolius,,
organism:77a47a02cbca,Cordyceps sinensis,Cordyceps sinensis,,
organism:1253c820e7a2,Cipangopaludina chinensis,Cipangopaludina chinensis,,
organism:69c355d7c77a,Hylocereus undatus,Hylocereus undatus,,
organism:caac8da1a5ef,Abelmoschus esculentus L.,Abelmoschus esculentus L.,,
organism:0755f993bf54,Stropharia rugosoannulata,Stropharia rugosoannulata,,
organism:90d8ac1ec99d,Macrolepiota albuminosa (Berk.) Pegler,Macrolepiota albuminosa (Berk.) Pegler,,
organism:775591a8f7c6,Vitex negundo Linn,Vitex negundo Linn,,
organism:1e93d93e6aef,Plantago asiatica L.,Plantago asiatica L.,,
organism:fdabff536d9a,Chondrus ocellatus,Chondrus ocellatus,,
organism:2522ceb4e67a,Porphyra capensis,Porphyra capensis,,
organism:fb310284e00f,Fermentation,Fermentation,,
organism:956b9e1f119e,Tunicates,Tunicates,,
organism:45539a402f53,Crustaceans、Fungi,Crustaceans、Fungi,,
organism:2638805cd13d,Animal tissues,Animal tissues,,
organism:c8f99785dc40,Gastrodia elata Blume,Gastrodia elata Blume,,
organism:06b00ac5a565,Ulva,Ulva,,
organism:7a764a75b99a,Edible fungus,Edible fungus,,
organism:581e6f40bc22,Abelmoschus esculentus L,Abelmoschus esculentus L,,
organism:96413040ea07,Acacia,Acacia,,
organism:111cf2db6356,Crustacea,Crustacea,,
organism:bfb7e24f3c80,Acanthopanax sciadophylloides,Acanthopanax sciadophylloides,,
organism:1ebb0eef7ace,Polygonatum cyrtonema,Polygonatum cyrtonema,,
organism:16e18c808834,Saccharum officinarum,Saccharum officinarum,,
organism:52169aa4ea27,Algae,Algae,,
organism:9ac18aeb4818,Tuber,Tuber,,
organism:98883b97e35b,Fungi,Fungi,,
organism:83b1a4a45808,Lentinus squarrosulus,Lentinus squarrosulus,,
organism:8f4819d7f312,Sagittaria trifolia,Sagittaria trifolia,,
organism:b2a7c3044048,Crassiphycus birdiae,Crassiphycus birdiae,,
organism:d98cb0ba289c,Streptococcus,Streptococcus,,
organism:6a78436cb44a,Lentinan edodes,Lentinan edodes,,
organism:1bed638a2ab6,Embryophyta,Embryophyta,,
organism:51d2c8401863,Ribes nigrum,Ribes nigrum,,
organism:8d3959ea3022,Asparagus officinalis,Asparagus officinalis,,
organism:d8a7247cd174,Cantharellus cibarius,Cantharellus cibarius,,
organism:64ff12d55ec3,Punica granatum,Punica granatum,,
organism:55557fb3ea8c,Hippophae rhamnoides,Hippophae rhamnoides,,
organism:f6a381e1a4c4,Carthamus tinctorius,Carthamus tinctorius,,
organism:a2c8ccc51172,Eremurus Hissaricus,Eremurus Hissaricus,,
organism:451475af8420,Bangia fuscopurpurea,Bangia fuscopurpurea,,
organism:0d2b79d91928,Eupolyphaga sinensis,Eupolyphaga sinensis,,
organism:d91b22607027,Radix Aconiti Lateralis Preparata,Radix Aconiti Lateralis Preparata,,
organism:6814f177fe96,Lactobacillus,Lactobacillus,,
organism:9bcaa70ce364,Fructus Mori,Fructus Mori,,
organism:d9ffe8211810,Notarchus leachii freeri,Notarchus leachii freeri,,
organism:f897589f61a8,Betula,Betula,,
organism:5a6876ac00e4,Solanum tuberosum,Solanum tuberosum,,
organism:e1f795f1f0c9,Ruditapes philippinarum,Ruditapes philippinarum,,
organism:1c335a84600b,Annona squamosa,Annona squamosa,,
organism:2e65f805cd12,Dioscorea polystachya,Dioscorea polystachya,,
organism:ec5dcb7a4fb0,Cucurbita,Cucurbita,,
organism:62f1faad385b,Chinese quince,Chinese quince,,
organism:46657a9da2e7,Senna obtusifolia,Senna obtusifolia,,
organism:3a03be06a4a7,Camellia,Camellia,,
organism:1b52f8bc3818,Musa acuminata,Musa acuminata,,
organism:d9c4649e2ab8,Rubus anatolicus,Rubus anatolicus,,
organism:5e526af2d1b0,Enteromorpha prolifera,Enteromorpha prolifera,,
organism:686f220bfa32,Sesamum radiatum,Sesamum radiatum,,
organism:ce1be6360648,Aralia elata,Aralia elata,,
organism:9fc430da0961,Cynomorium songaricum,Cynomorium songaricum,,
organism:2a85f8ae1c23,Macroalgae,Macroalgae,,
organism:b36ac05b512f,Lilium brownii,Lilium brownii,,
organism:34dc2037a2a8,Phellinus ribis,Phellinus ribis,,
organism:1d7a9f96677f,Sarcandra glabra,Sarcandra glabra,,
organism:7e987e990dc6,Malus domestica,Malus domestica,,
organism:79de29ede2bd,Sinonovacula constricta,Sinonovacula constricta,,
organism:4f4bda4b1a70,Ganoderma atrum,Ganoderma atrum,,
organism:60909fef3059,Crustacean,Crustacean,,
organism:b5bf36f695f8,Avicennia marina,Avicennia marina,,
organism:08209014927f,Aconitum coreanum,Aconitum coreanum,,
organism:4c65032313fd,Schisandra sphenanthera,Schisandra sphenanthera,,
organism:e8c2bf33cc2b,Averrhoa carambola,Averrhoa carambola,,
organism:3e605c281bb3,Cymbopogon citratus,Cymbopogon citratus,,
organism:dc680990d17b,Atractylodes macrocephala,Atractylodes macrocephala,,
organism:40e7d12e697f,Odontella aurita,Odontella aurita,,
organism:6967d4462bb5,Gallus gallus,Gallus gallus,,
organism:11e8b4e9866e,Hymenaea courbaril,Hymenaea courbaril,,
organism:c471218f6f30,Litchi chinensis,Litchi chinensis,,
organism:50b63ebd2867,Crassostrea gigas,Crassostrea gigas,,
organism:416995465e65,Amaranthus caudatus,Amaranthus caudatus,,
organism:203d9667646c,Prunus dulcis,Prunus dulcis,,
organism:80510fa4eadb,Boletus edulis,Boletus edulis,,
organism:4d4d6c2f7900,Saussurea laniceps,Saussurea laniceps,,
organism:b6f9a132a4d9,Rosa roxburghii,Rosa roxburghii,,
organism:929f7f7041e0,Aloe vera,Aloe vera,,
organism:b38b616df502,Grateloupia livida,Grateloupia livida,,
organism:ffa3d2bb4d5e,Huangjiu,Huangjiu,,
organism:5fd69516f4dc,Meretrix meretrix,Meretrix meretrix,,
organism:a214382e6b64,Angelica pubescens,Angelica pubescens,,
organism:d6185123847c,Auricularia cornea,Auricularia cornea,,
organism:bf3028e0efff,Coprinus comatus,Coprinus comatus,,
organism:cdabc044beaa,Malus halliana,Malus halliana,,
organism:eb0d09530751,Corylus avellana L.,Corylus avellana L.,,
organism:c8eef5644343,Ziziphus Jujuba cv. Muzao,Ziziphus Jujuba cv. Muzao,,
organism:19990ec0f419,Suaeda salsa,Suaeda salsa,,
organism:7aaf352f908c,Ugni molinae,Ugni molinae,,
organism:624134db9f47,Lachancea thermotolerans,Lachancea thermotolerans,,
organism:dbf349a8f310,Torulaspora delbrueckii,Torulaspora delbrueckii,,
organism:761df19e0a8e,Schizosaccharomyces pombe,Schizosaccharomyces pombe,,
organism:7ae43f9da000,Hanseniaspora valbyensis,Hanseniaspora valbyensis,,
organism:1dde24441b81,Hanseniaspora uvarum,Hanseniaspora uvarum,,
organism:7e2269d18fd8,Metschnikowia pulcherrima,Metschnikowia pulcherrima,,
organism:7a3e83de035d,Pichia fermentans,Pichia fermentans,,
organism:0d0537df5bfe,Pichia,Pichia,,
organism:2f96d757b7c1,Starmerella bombicola,Starmerella bombicola,,
organism:c9b76b9ef735,Saccharomycodes ludwigii,Saccharomycodes ludwigii,,
organism:d22fe45fe67c,Zygosaccharomyces bailii,Zygosaccharomyces bailii,,
organism:f7c1f9b74a0b,Brettanomyces bruxellensis,Brettanomyces bruxellensis,,
organism:496dcca96bae,Lens culinaris,Lens culinaris,,
organism:1956035557b2,Pisum sativum,Pisum sativum,,
organism:b2b6b2815906,Cicer arietinum,Cicer arietinum,,
organism:c35ff082c971,Physalis alkekengi,Physalis alkekengi,,
organism:a5201078c7ea,Aspergillus versicolor,Aspergillus versicolor,,
organism:0c77626f88c6,Sipunculus nudus,Sipunculus nudus,,
organism:3c062ff49b51,Opuntia ficus-indica,Opuntia ficus-indica,,
organism:6594c31332aa,Haematococcus lacustris,Haematococcus lacustris,,
organism:8357e4974d31,Nostoc muscorum,Nostoc muscorum,,
organism:bb4dea211355,Aloe ferox,Aloe ferox,,
organism:039cf8070e8e,Paullinia cupana,Paullinia cupana,,
organism:eaa8826a9eaf,Auricularia auricula,Auricularia auricula,,
organism:6940336255ae,Prosopis alpataco,Prosopis alpataco,,
organism:c05720695e7e,Cassia tora,Cassia tora,,
organism:4edb013a143e,Lachnum,Lachnum,,
organism:32d606dc3451,Aphanothece stagnina,Aphanothece stagnina,,
organism:5cd2eea69a12,Actinidia chinensis,Actinidia chinensis,,
organism:f2323fbe0c6b,Actinidia deliciosa,Actinidia deliciosa,,
organism:196240368ace,Brugmansia aurea,Brugmansia aurea,,
organism:ecfb3dc0697c,Apostichopus japonicus,Apostichopus japonicus,,
organism:90b843fc4323,Valerianella locusta,Valerianella locusta,,
organism:6e82406cc51f,Laminaria saccharina,Laminaria saccharina,,
organism:04936b34ca3b,plant cell wall,plant cell wall,,
organism:9e309fc8709d,Grateloupia filicina,Grateloupia filicina,,
organism:fc2988a4e355,Soluble Starch,Soluble Starch,,
organism:f27eb324979b,Lactobacillus rhamnosus,Lactobacillus rhamnosus,,
organism:3b98759e2d34,Cordyceps gunnii var. minor,Cordyceps gunnii var. minor,,
organism:b1e6ae33a951,Caesalpinia spinosa,Caesalpinia spinosa,,
organism:9cfaffdd7cda,Helianthus tuberosus,Helianthus tuberosus,,
organism:6a1aa33696cf,Brassica rapa,Brassica rapa,,
organism:02343f0f8076,Macrocystis pyrifera,Macrocystis pyrifera,,
organism:b7067749e816,Bradyrhizobiumelkanii,Bradyrhizobiumelkanii,,
organism:3b66efaa5a2c,Actinomycetales,Actinomycetales,,
organism:fa060a13b235,Providencia stuartii,Providencia stuartii,,
organism:47eacc81707e,Proteus mirabilis,Proteus mirabilis,,
organism:fdc86b8080b1,Bergenia crassifolia,Bergenia crassifolia,,
organism:b1733fe8378e,Streptococcus pneumoniae,Streptococcus pneumoniae,,
organism:59e8841c34fa,Alaria fistulosa,Alaria fistulosa,,
organism:3bf40ca3ca01,Alaria marginata,Alaria marginata,,
organism:f69134361805,Laminaria cichorioides,Laminaria cichorioides,,
organism:102e1bfd11e4,Streptococcus macedonicus,Streptococcus macedonicus,,
organism:f4dd2e5d9d9e,Bostrychia montagnei,Bostrychia montagnei,,
organism:fb7960af6c8c,Lytechinus variegatus,Lytechinus variegatus,,
organism:4f770a59ef1a,Penicillium vermiculatum,Penicillium vermiculatum,,
organism:032175d92efe,Achyranthes bidentata,Achyranthes bidentata,,
organism:769de74c9fbd,Toxicodendron vernicifluum,Toxicodendron vernicifluum,,
organism:023ed78cc1d0,Porphyromonas circumdentaria,Porphyromonas circumdentaria,,
organism:3e14066a0378,Pseudomonas tolaasii,Pseudomonas tolaasii,,
organism:59e215b76142,Hafnia alvei,Hafnia alvei,,
organism:7235aac92105,Proteus vulgaris,Proteus vulgaris,,
organism:f88c9d8259be,Staphylococcus epidermidis,Staphylococcus epidermidis,,
organism:9dc54519fb0e,Neohydatothrips variabilis,Neohydatothrips variabilis,,
organism:cdf5e453f70d,Corbicula fluminea,Corbicula fluminea,,
organism:e49db66cbe7f,Naematelia aurantialba,Naematelia aurantialba,,
organism:9a202669305a,Morchella importuna fruiting bodies,Morchella importuna fruiting bodies,,
organism:66862e3a9876,Hippocampus mohnikei,Hippocampus mohnikei,,
organism:e994600553f5,Actinopyga mauritiana,Actinopyga mauritiana,,
organism:81a325c0d042,Staphylococcus aureus,Staphylococcus aureus,,
organism:09ba2fe97703,Lemna minor,Lemna minor,,
organism:a3b0f5e0bc89,Acer pseudoplatanus,Acer pseudoplatanus,,
organism:8ba32f1ee976,Aloe,Aloe,,
organism:a2039af1ea98,Auxenochlorella pyrenoidosa,Auxenochlorella pyrenoidosa,,
organism:be1d84a847fb,Canistrocarpus cervicornis,Canistrocarpus cervicornis,,
organism:1417c7f7dea2,Nitraria tangutorum Bobrov,Nitraria tangutorum Bobrov,,
organism:6b51036734b4,Pleurotus citrinopileatus Singer,Pleurotus citrinopileatus Singer,,
organism:902876241a0c,Zingiber officinale,Zingiber officinale,,
organism:f0f8f810dab5,Senegalia senegal,Senegalia senegal,,
organism:6ae836ba31c4,Arthrospira platensis,Arthrospira platensis,,
organism:a2706aa2c7c1,Citrus limetta,Citrus limetta,,
organism:85896c9e27a1,Bacillus velezensis,Bacillus velezensis,,
organism:3218f910976a,Pachyrhizus erosus,Pachyrhizus erosus,,
organism:ffcf3fbe6b49,Duchesnea indica,Duchesnea indica,,
organism:734ffa99cff7,Cucumis melo,Cucumis melo,,
organism:c609a913ce21,Lactobacillus plantarum HY,Lactobacillus plantarum HY,,
organism:1c72f5a4063d,Enterococcus faecium WEFA23,Enterococcus faecium WEFA23,,
organism:9038b74bc423,Citrus medica var. sarcodactylis,Citrus medica var. sarcodactylis,,
organism:3dbc0aba0ae5,Thelephora ganbajun,Thelephora ganbajun,,
organism:bf45c54dcaf1,Vigna radiata,Vigna radiata,,
organism:fe0ef6b348f6,Trollius chinensis,Trollius chinensis,,
organism:a2cef43209c8,Monascus purpureus,Monascus purpureus,,
organism:1c5abee129a0,Althaea officinalis,Althaea officinalis,,
organism:ca941e9b4b03,Castanea mollissima,Castanea mollissima,,
organism:24300f152cc2,Helicteres isora,Helicteres isora,,
organism:7ffef0654159,Enteromorpha intestinalis,Enteromorpha intestinalis,,
organism:00181e076ace,Isochrysis galbana,Isochrysis galbana,,
organism:239fbc961c10,Chaenomeles speciosa,Chaenomeles speciosa,,
organism:41da90b8310d,Fortunella japonica,Fortunella japonica,,
organism:a7dbff98804e,Malva sylvestris,Malva sylvestris,,
organism:15c802ab17d1,Cedrus deodara,Cedrus deodara,,
organism:465ded1222fa,Leucocoprinus birnbaumii,Leucocoprinus birnbaumii,,
organism:81179c05fafa,Dictyopteris divaricata,Dictyopteris divaricata,,
organism:25ef0eb07d1e,Kluyveromyces marxianus,Kluyveromyces marxianus,,
organism:3112420d0249,Polygonum aviculare,Polygonum aviculare,,
organism:af2a00130618,Periploca sepium,Periploca sepium,,
organism:5fe654ce09a9,Gynura segetum,Gynura segetum,,
organism:394eab24f36d,Lactobacillus fermentum,Lactobacillus fermentum,,
organism:2346fb0731d4,Agave sisalana,Agave sisalana,,
organism:f5fef1b22db0,Capsicum annuum,Capsicum annuum,,
organism:bdaa67c7dec1,Prunus pseudocerasus,Prunus pseudocerasus,,
organism:61f1c116a594,Saposhnikovia divaricata,Saposhnikovia divaricata,,
organism:51c111b9ae86,Boletus,Boletus,,
organism:592490afaac6,Hemerocallis fulva,Hemerocallis fulva,,
organism:a618a116cdcc,Phyllostachys,Phyllostachys,,
organism:3a676cf56b2b,Weissella cibaria,Weissella cibaria,,
organism:22dc876b34af,Ganoderma applanatum,Ganoderma applanatum,,
organism:c7d9078c7c12,Haliotis,Haliotis,,
organism:44947c70d57e,Lepiota,Lepiota,,
organism:d726e9204f2d,Chrysanthemum indicum,Chrysanthemum indicum,,
organism:fc2fbe843565,Pinctada,Pinctada,,
organism:786e7e3c193e,Aconitum carmichaelii,Aconitum carmichaelii,,
organism:b346892fa3b2,Clausena lansium,Clausena lansium,,
organism:eb7791110c8a,Eleutherococcus senticosus,Eleutherococcus senticosus,,
organism:d64950dec244,Dendrobium fimbriatum,Dendrobium fimbriatum,,
organism:a93dfb2cbea0,Hibiscus mutabilis,Hibiscus mutabilis,,
organism:f1d0ae26205e,Bacillus anthracis,Bacillus anthracis,,
organism:fbb16146adc7,Fritillaria cirrhosa,Fritillaria cirrhosa,,
organism:177016d1b429,Aureococcus anophagefferens,Aureococcus anophagefferens,,
organism:e693f9b1498a,Pseudomonas sp. PT-8,Pseudomonas sp. PT-8,,
organism:4383d51c96e5,Cyathula officinalis,Cyathula officinalis,,
organism:bfdbad46bc63,Apocynum venetum,Apocynum venetum,,
organism:a09b71cc096c,Gibberella zeae,Gibberella zeae,,
organism:6f57c6428ca8,Strobilomyces strobilaceus,Strobilomyces strobilaceus,,
organism:b0ff8a4b4561,Elaeagnus umbellata,Elaeagnus umbellata,,
organism:95314369cf60,Coffea,Coffea,,
organism:236158ab2de2,Mycobacterium tuberculosis,Mycobacterium tuberculosis,,
organism:ef2936921435,Fomitopsis pinicola,Fomitopsis pinicola,,
organism:5a7086c2f617,Rhodotorula sp.,Rhodotorula sp.,,
organism:1d15db1d22f4,Camellia oleifera,Camellia oleifera,,
organism:9b442d35195a,Ulva intestinalis,Ulva intestinalis,,
organism:d969a7ebb458,Panax japonicus,Panax japonicus,,
organism:79e37be7de1a,Dactyloctenium aegyptium,Dactyloctenium aegyptium,,
organism:7d8d695c7b9c,Boletaceae,Boletaceae,,
organism:9b1a79fdd165,Beauveria,Beauveria,,
organism:df8b72684a52,Zantedeschia aethiopica,Zantedeschia aethiopica,,
organism:9640b554acf6,Mesona chinensis,Mesona chinensis,,
organism:365dd0972b2d,Agaricus guizhouensis,Agaricus guizhouensis,,
organism:4270f54833a3,Lithospermum erythrorhizon,Lithospermum erythrorhizon,,
organism:183051b26b91,Fraxinus,Fraxinus,,
organism:3606318b94ec,Blechnum orientale,Blechnum orientale,,
organism:cbe1b651d889,Ligusticum chuanxiong,Ligusticum chuanxiong,,
organism:30e004c3bb72,Sargassum muticum,Sargassum muticum,,
organism:8148e7e0330f,Lactobacillus plantarum JLAU103,Lactobacillus plantarum JLAU103,,
organism:1c28743e9289,Senecio scandens,Senecio scandens,,
organism:60af898c45a5,Quercus glauca,Quercus glauca,,
organism:0cb01f444542,Fritillaria ussuriensis,Fritillaria ussuriensis,,
organism:9810138d24a9,Thalassia testudinum,Thalassia testudinum,,
organism:5697bee6f397,Pinellia ternata,Pinellia ternata,,
organism:a86ef3e8abc1,Choerospondias axillaris,Choerospondias axillaris,,
organism:7858936f737f,pseudocarp,pseudocarp,,
organism:c9d40b54d2da,Lepista nuda,Lepista nuda,,
organism:08702e7c56a1,Neophocaena asiaeorientalis,Neophocaena asiaeorientalis,,
organism:18d9e6b3086e,Lactobacillus plantarum,Lactobacillus plantarum,,
organism:5e7f56564687,Nitraria tangutorum,Nitraria tangutorum,,
organism:a8a84635e857,Physalis virginiana,Physalis virginiana,,
organism:61670b95205b,Athelia rolfsii,Athelia rolfsii,,
organism:57c0145d6c50,Streptococcus thermophilus,Streptococcus thermophilus,,
organism:a495d6011d53,Semliki Forest virus,Semliki Forest virus,,
organism:f80cc5639ab8,Artemisia annua,Artemisia annua,,
organism:7a18f9c482f0,Tuber sinense,Tuber sinense,,
organism:8a119c6ec2b3,Pteridium aquilinum,Pteridium aquilinum,,
organism:0645d95bbade,Dendrobium,Dendrobium,,
organism:cd4db894f898,Trypanosoma brucei,Trypanosoma brucei,,
organism:6dfb31bd36e6,Isaria farinosa,Isaria farinosa,,
organism:f5607728f2ad,Melia azedarach,Melia azedarach,,
organism:7e7fa7ff2713,Brassica napus,Brassica napus,,
organism:22172018f2ff,Keissleriella,Keissleriella,,
organism:8c8761ed5b46,Carex meyeriana,Carex meyeriana,,
organism:ad817bad673b,Rana chensinensis,Rana chensinensis,,
organism:8ad4ce105558,Rhodiola rosea,Rhodiola rosea,,
organism:1bad0e61f071,Brucella,Brucella,,
organism:0d5c6d51b387,Leymus chinensis,Leymus chinensis,,
organism:901968681bd5,Umbilicaria tornata,Umbilicaria tornata,,
organism:31c8f5078e7e,Pinus massoniana,Pinus massoniana,,
organism:050661c53f1a,Marasmius androsaceus,Marasmius androsaceus,,
organism:c14fccd94b49,Scutellaria barbata,Scutellaria barbata,,
organism:cf30218aba5e,Lactobacillus plantarum WLPL09,Lactobacillus plantarum WLPL09,,
organism:342b6ef3ddd2,Sanghuangporus vaninii,Sanghuangporus vaninii,,
organism:05045fc5e019,Potionem Sinensem Verdem,Potionem Sinensem Verdem,,
organism:7106026129a8,Paulownia fortunei,Paulownia fortunei,,
organism:93aedf2f31a1,Atractylodes Lancea,Atractylodes Lancea,,
organism:2ec74333b112,Pueraria montana,Pueraria montana,,
organism:ea6dc9fdae7b,Sagittaria sagittifoliaL.,Sagittaria sagittifoliaL.,,
organism:fd3e09730d86,Hermetia illucensL,Hermetia illucensL,,
organism:056e863615e4,Pyrus sinkiangensis Yu,Pyrus sinkiangensis Yu,,
organism:db92e7bed9ba,Athyrium multidentatum,Athyrium multidentatum,,
organism:856d6f65ec12,Cucumis metuliferus,Cucumis metuliferus,,
organism:cecc0d34beed,Momordica charantia L,Momordica charantia L,,
organism:999421aae9ea,Pyrola calliantha,Pyrola calliantha,,
organism:1a8a478e6e23,Scleromitrion diffusum,Scleromitrion diffusum,,
organism:ae01d78e432d,Cullen corylifolium,Cullen corylifolium,,
organism:4584ef79de30,Saussurea,Saussurea,,
organism:0b3cd6761f12,Russula griseocarnosa,Russula griseocarnosa,,
organism:28c70c95f906,Oudemansiella radicata,Oudemansiella radicata,,
organism:d726eabc3ebf,Leuconostoc pseudomesenteroides XG5,Leuconostoc pseudomesenteroides XG5,,
organism:8c8e5bf33444,Sepioteuthis lessoniana,Sepioteuthis lessoniana,,
organism:fd92eaa48590,Lactobacillus rhamnosus KF5,Lactobacillus rhamnosus KF5,,
organism:f736aa21495b,Lonicerajaponica,Lonicerajaponica,,
organism:9728ce0f1944,manchurian sauerkraut,manchurian sauerkraut,,
organism:0455c25c5507,fenugreek gum,fenugreek gum,,
organism:e8b83dd02f22,R. esculentum Kishinouye,R. esculentum Kishinouye,,
organism:fc77d095f7bb,Bacillus atrophaeus WYZ strain,Bacillus atrophaeus WYZ strain,,
organism:3544b53fc759,fermentum multicellular aggregates,fermentum multicellular aggregates,,
organism:e3f7fa023425,Salvia officinalis,Salvia officinalis,,
organism:75490f32c06a,tea,tea,,
organism:23fcb593421c,Gentiana scabra Bunge,Gentiana scabra Bunge,,
organism:a782ea1efb4b,Lactobacillus rhamnosus E/N,Lactobacillus rhamnosus E/N,,
organism:1e6ca2b26b63,Undaria pinnatifida Suringar,Undaria pinnatifida Suringar,,
organism:bc31dcde4aa4,Polygonum multiflorum,Polygonum multiflorum,,
organism:84f63e4cac36,boat-fruited sterculia seeds,boat-fruited sterculia seeds,,
organism:f08a069b5044,Weissella cibaria JAG8,Weissella cibaria JAG8,,
organism:47b6a259756f,Bamboo shoot,Bamboo shoot,,
